endpoint_id,response_time_ms,payload_size_kb,is_error,is_4xx,rolling_avg_response_ms,rolling_error_rate,rolling_avg_payload_kb,response_time_deviation,hour_of_day,day_of_week,is_anomaly
0,197.0,25.68,0,0,197.0,0.0,25.68,0.0,16,2,0
0,175.69,28.97,0,0,186.345,0.0,27.325,10.655000000000001,17,2,0
0,160.76,38.95,0,0,177.8166666666667,0.0,31.2,17.0566666666667,18,2,0
0,158.65,4.59,0,0,173.025,0.0,24.5475,14.375,19,2,0
0,189.06,31.95,0,0,176.232,0.0,26.028,12.828000000000003,20,2,0
0,163.92,2.54,0,0,174.17999999999998,0.0,22.113333333333333,10.259999999999991,20,2,0
0,167.49,46.87,0,0,173.2242857142857,0.0,25.650000000000002,5.734285714285704,22,2,0
0,146.25,2.0,0,0,169.8525,0.0,22.69375,23.602499999999992,22,2,0
0,190.37,23.06,0,0,172.13222222222223,0.0,22.734444444444442,18.23777777777778,23,2,0
0,140.04,29.63,0,0,168.923,0.0,23.424,28.88300000000001,2,3,0
0,180.65,13.29,0,0,167.288,0.0,22.185,13.361999999999995,3,3,0
0,210.12,48.37,0,0,170.731,0.0,24.125,39.38900000000001,6,3,0
0,157.16,3.35,0,0,170.371,0.0,20.565,13.211000000000013,6,3,0
0,214.11,34.32,0,0,175.917,0.0,23.538,38.19300000000001,8,3,0
0,64.69,48.92,0,0,163.48,0.0,25.235000000000003,98.78999999999999,10,3,0
0,243.53,36.25,0,0,171.441,0.0,28.606,72.089,14,3,0
0,173.04,37.57,0,0,171.996,0.0,27.676,1.0439999999999827,15,3,0
0,170.39,31.11,0,0,174.41000000000003,0.0,30.587,4.020000000000039,15,3,0
0,165.45,10.96,0,0,171.91799999999998,0.0,29.377,6.467999999999989,16,3,0
0,197.73,31.26,0,0,177.68699999999998,0.0,29.54,20.043000000000006,16,3,0
0,134.14,8.17,0,0,173.036,0.0,29.028000000000002,38.896000000000015,17,3,0
0,481.18,362.12,0,0,200.142,0.0,60.403,281.038,21,3,1
0,250.02,6.15,0,0,209.42799999999997,0.0,60.68300000000001,40.59200000000004,21,3,0
0,187.25,46.96,0,0,206.74200000000002,0.0,61.94699999999999,19.49200000000002,0,4,0
0,180.75,3.85,0,0,218.348,0.0,57.44,37.59800000000001,1,4,0
0,174.59,8.05,0,0,211.454,0.0,54.620000000000005,36.864000000000004,3,4,0
0,134.02,22.39,0,0,207.552,0.0,53.102,73.53199999999998,4,4,0
0,177.62,16.07,0,0,208.275,0.0,51.598,30.655,4,4,0
0,84.65,2.51,0,0,200.195,0.0,50.753,115.54499999999999,5,4,0
0,205.86,11.55,0,0,201.008,0.0,48.782,4.852000000000004,7,4,0
0,173.81,31.51,0,0,204.975,0.0,51.116,31.164999999999992,7,4,0
0,177.46,43.43,0,0,174.603,0.0,19.247,2.8569999999999993,10,4,0
0,205.16,18.32,0,0,170.11700000000002,0.0,20.464,35.04299999999998,10,4,0
0,184.62,13.37,0,0,169.85399999999998,0.0,17.105,14.76600000000002,12,4,0
0,208.57,34.32,0,0,172.636,0.0,20.151999999999997,35.934,13,4,0
0,159.11,31.13,0,0,171.08800000000002,0.0,22.46,11.978000000000009,15,4,0
0,98.58,23.22,0,0,167.544,0.0,22.543,68.96400000000001,19,4,0
0,229.99,26.29,0,0,172.781,0.0,23.565,57.209,23,4,0
0,184.95,43.48,0,0,182.811,0.0,27.662,2.1389999999999816,0,5,0
0,158.48,8.6,0,0,178.073,0.0,27.367,19.593000000000018,0,5,0
0,185.05,33.15,0,0,179.197,0.0,27.531,5.853000000000009,1,5,0
0,207.77,19.97,0,0,182.228,0.0,25.185,25.542,1,5,0
0,101.74,24.99,0,0,171.886,0.0,25.851999999999997,70.146,2,5,0
0,168.84,29.07,0,0,170.308,0.0,27.421999999999997,1.4679999999999893,3,5,0
0,132.36,24.61,0,0,162.687,0.0,26.451,30.326999999999998,5,5,0
0,164.45,24.39,0,0,163.221,0.0,25.776999999999997,1.228999999999985,6,5,0
0,148.96,13.25,0,0,168.259,0.0,24.78,19.298999999999978,6,5,0
0,221.67,2.74,0,0,167.427,0.0,22.425,54.242999999999995,7,5,0
0,215.12,21.78,0,0,170.44400000000002,0.0,20.255000000000003,44.67599999999999,10,5,0
0,213.27,48.66,0,0,175.923,0.0,24.261000000000003,37.34700000000001,10,5,0
0,183.6,48.09,0,0,175.778,0.0,25.755000000000003,7.822000000000003,10,5,0
0,190.94,11.23,0,0,174.095,0.0,24.881,16.845,11,5,0
0,123.77,27.3,0,0,176.298,0.0,25.112000000000002,52.528000000000006,13,5,0
0,140.65,33.17,0,0,173.47899999999998,0.0,25.522,32.82899999999998,14,5,0
0,182.14,7.23,0,0,178.457,0.0,23.784,3.6829999999999927,15,5,0
0,123.32,31.83,0,0,174.344,0.0,24.528,51.024,16,5,0
0,182.08,24.96,0,0,177.656,0.0,25.699,4.424000000000007,16,5,0
0,176.87,30.47,0,0,173.176,0.0,28.471999999999998,3.694000000000017,17,5,0
0,132.83,3.14,0,0,164.94699999999997,0.0,26.608000000000004,32.11699999999996,21,5,0
0,145.33,9.64,0,0,158.153,0.0,22.706,12.822999999999979,21,5,0
0,216.2,10.87,0,0,161.413,0.0,18.984,54.78699999999998,0,6,0
0,137.65,18.21,0,0,156.084,0.0,19.682,18.433999999999997,4,6,0
0,161.05,27.96,0,0,159.81199999999998,0.0,19.747999999999998,1.238000000000028,5,6,0
0,185.41,17.91,0,0,164.28799999999998,0.0,18.222,21.122000000000014,6,6,0
0,239.1,49.9,0,0,169.984,0.0,22.489,69.11599999999999,6,6,0
0,227.43,36.85,0,0,180.395,0.0,22.991,47.035,7,6,0
0,260.19,46.55,0,0,188.206,0.0,25.15,71.98400000000001,7,6,0
0,185.7,42.16,0,0,189.089,0.0,26.319,3.38900000000001,11,6,0
0,149.03,45.16,0,0,190.709,0.0,30.520999999999997,41.679,15,6,0
0,179.25,14.61,0,0,194.101,0.0,31.018,14.850999999999999,16,6,0
0,129.07,18.51,0,0,185.38799999999998,0.0,31.782,56.317999999999984,17,6,0
0,209.8,6.74,0,0,192.603,0.0,30.634999999999998,17.197000000000003,17,6,0
0,221.81,10.08,0,0,198.67900000000003,0.0,28.846999999999998,23.130999999999972,19,6,0
0,185.55,37.12,0,0,198.693,0.0,30.767999999999994,13.143,21,6,0
0,140.37,24.14,0,0,188.82,0.0,28.191999999999997,48.44999999999999,0,0,0
0,173.1,6.27,0,0,183.387,0.0,25.134,10.287000000000006,3,0,0
0,223.15,36.38,0,0,179.683,0.0,24.116999999999997,43.46700000000001,4,0,0
0,202.61,33.01,0,0,181.374,0.0,23.201999999999998,21.23600000000002,5,0,0
0,213.18,40.05,0,0,187.78900000000002,0.0,22.691,25.39099999999999,6,0,0
0,187.4,10.46,0,0,188.60399999999998,0.0,22.276,1.2039999999999793,7,0,0
0,218.65,29.26,0,0,197.562,0.0,23.351,21.087999999999994,8,0,0
0,168.41,24.51,0,0,193.423,0.0,25.128,25.013000000000005,9,0,0
0,215.97,44.94,0,0,192.839,0.0,28.613999999999997,23.131,9,0,0
0,143.46,39.22,0,0,188.63,0.0,28.824,45.16999999999999,11,0,0
0,218.78,8.41,0,0,196.471,0.0,27.250999999999998,22.308999999999997,11,0,0
0,161.41,21.28,0,0,195.302,0.0,28.752000000000002,33.891999999999996,12,0,0
