timestamp,endpoint,http_method,status_code,response_time_ms,payload_size_kb,client_ip,is_anomaly
2026-01-28 15:11:10,/api/v1/inventory,POST,201,186.39,38.4,10.0.6.166,0
2026-01-28 15:19:37,/api/v2/products,PUT,504,257.73,0.68,10.0.1.125,1
2026-01-28 15:29:08,/api/v1/payments,POST,200,135.94,40.33,10.0.7.158,0
2026-01-28 15:37:19,/api/v1/shipments,GET,201,169.45,26.87,10.0.4.209,0
2026-01-28 15:46:00,/api/v1/orders,POST,200,188.86,5.92,10.0.7.221,0
2026-01-28 15:54:13,/api/v1/payments,PUT,200,177.71,33.35,10.0.7.153,0
2026-01-28 16:03:28,/api/v2/products,DELETE,200,188.27,31.1,10.0.7.93,0
2026-01-28 16:11:32,/api/v2/invoices,DELETE,200,165.63,7.71,10.0.5.187,0
2026-01-28 16:20:35,/api/v1/customers,GET,201,145.95,20.68,10.0.5.131,0
2026-01-28 16:29:12,/api/v2/invoices,PUT,200,198.91,1.55,10.0.7.66,0
2026-01-28 16:37:19,/api/v1/orders,DELETE,201,256.61,26.6,10.0.8.104,0
2026-01-28 16:46:07,/api/v1/auth/token,DELETE,204,197.0,25.68,10.0.0.231,0
2026-01-28 16:54:50,/api/v2/invoices,POST,200,187.86,44.0,10.0.6.242,0
2026-01-28 17:04:01,/api/v1/auth/token,PUT,200,175.69,28.97,10.0.1.47,0
2026-01-28 17:12:00,/api/v1/inventory,PUT,200,206.28,24.38,10.0.4.166,0
2026-01-28 17:21:20,/api/v1/inventory,PUT,200,165.26,48.96,10.0.8.137,0
2026-01-28 17:29:37,/api/v1/inventory,DELETE,200,158.72,9.53,10.0.6.79,0
2026-01-28 17:38:19,/api/v1/inventory,POST,200,256.47,34.43,10.0.1.234,0
2026-01-28 17:47:14,/api/v2/invoices,PUT,201,135.24,38.15,10.0.7.197,0
2026-01-28 17:55:14,/api/v1/orders,PUT,201,292.57,25.38,10.0.2.151,0
2026-01-28 18:04:36,/api/v1/customers,DELETE,204,184.54,27.18,10.0.6.226,0
2026-01-28 18:12:26,/api/v1/customers,DELETE,204,217.38,32.68,10.0.2.35,0
2026-01-28 18:21:23,/api/v2/invoices,DELETE,201,232.63,25.23,10.0.6.149,0
2026-01-28 18:29:55,/api/v2/products,GET,200,131.93,24.66,10.0.5.63,0
2026-01-28 18:39:03,/api/v1/customers,GET,200,147.78,24.43,10.0.2.148,0
2026-01-28 18:47:08,/api/v1/auth/token,PUT,200,160.76,38.95,10.0.7.42,0
2026-01-28 18:55:57,/api/v1/inventory,POST,200,220.78,34.23,10.0.9.11,0
2026-01-28 19:04:59,/api/v1/inventory,DELETE,200,146.78,8.23,10.0.5.241,0
2026-01-28 19:12:54,/api/v1/customers,GET,200,155.32,33.91,10.0.6.235,0
2026-01-28 19:21:29,/api/v2/invoices,PUT,503,338.62,2.1,10.0.0.194,1
2026-01-28 19:30:29,/api/v1/auth/token,POST,204,158.65,4.59,10.0.10.181,0
2026-01-28 19:39:07,/api/v1/shipments,POST,201,188.47,31.51,10.0.0.14,0
2026-01-28 19:47:52,/api/v1/shipments,POST,200,210.73,39.78,10.0.3.152,0
2026-01-28 19:56:39,/api/v1/inventory,DELETE,201,246.66,26.58,10.0.0.207,0
2026-01-28 20:04:49,/api/v1/auth/token,POST,200,189.06,31.95,10.0.5.30,0
2026-01-28 20:13:55,/api/v1/customers,PUT,200,117.7,5.5,10.0.9.219,0
2026-01-28 20:22:45,/api/v1/inventory,PUT,200,64.65,39.95,10.0.1.16,0
2026-01-28 20:31:13,/api/v1/auth/token,GET,204,163.92,2.54,10.0.8.179,0
2026-01-28 20:39:44,/api/v2/products,GET,204,217.04,49.16,10.0.9.164,0
2026-01-28 20:48:07,/api/v1/orders,POST,204,143.01,24.72,10.0.2.54,0
2026-01-28 20:56:37,/api/v1/customers,DELETE,200,193.37,26.23,10.0.9.179,0
2026-01-28 21:05:30,/api/v1/customers,POST,204,169.52,16.77,10.0.6.227,0
2026-01-28 21:14:23,/api/v1/orders,GET,200,175.53,33.32,10.0.10.90,0
2026-01-28 21:22:48,/api/v1/customers,GET,204,203.02,30.19,10.0.1.210,0
2026-01-28 21:31:35,/api/v1/customers,POST,204,180.13,48.13,10.0.1.188,0
2026-01-28 21:40:39,/api/v1/payments,DELETE,200,190.13,26.91,10.0.6.171,0
2026-01-28 21:48:34,/api/v1/payments,DELETE,201,197.17,39.58,10.0.5.66,0
2026-01-28 21:57:06,/api/v1/orders,GET,201,192.38,49.27,10.0.10.246,0
2026-01-28 22:05:36,/api/v1/customers,DELETE,204,159.77,12.58,10.0.2.152,0
2026-01-28 22:15:04,/api/v1/auth/token,PUT,200,167.49,46.87,10.0.1.38,0
2026-01-28 22:23:10,/api/v1/auth/token,GET,201,146.25,2.0,10.0.0.236,0
2026-01-28 22:32:10,/api/v2/products,POST,200,235.56,43.05,10.0.6.18,0
2026-01-28 22:40:45,/api/v2/invoices,POST,200,262.44,33.69,10.0.10.18,0
2026-01-28 22:49:14,/api/v1/orders,DELETE,503,313.23,0.62,10.0.8.4,1
2026-01-28 22:57:32,/api/v1/payments,GET,200,122.91,23.13,10.0.5.81,0
2026-01-28 23:07:03,/api/v2/products,PUT,204,171.78,6.08,10.0.6.224,0
2026-01-28 23:15:31,/api/v1/inventory,DELETE,200,204.67,34.23,10.0.3.10,0
